Number,State,IDState,Actorkey,ActorkeyState,Análisis_suelo_18,Análisis_foliar_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Composta_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desvare_18,Feromonas_18,Fertilización_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Tratamiento_semillas_18,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Cli18,Rad18,Cli17,Int17,Rad17,Rend17,Auto17,Edad18,Sup18,Rend18,Esc18,Auto18,Int18,CRend,Crad,CCli,CAuto,Cint
358,Chiapas,CHP,ER1135,CHPER1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,16,58,2,0.2,6,37.5,0,-2.8,0,0,21.5,0
359,Chiapas,CHP,ER1136,CHPER1136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.142857143,0,7.142857143,1,0,0.021,0,0,0,5,10,41,2,3.5,12,50,0,-1.5,0.021,0,40,0
360,Chiapas,CHP,ER1137,CHPER1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,5,60,1.66,3,0,14,0,-3.5,0,0,9,0
361,Chiapas,CHP,ER1138,CHPER1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,50,35,1.5,6,3,16,0,1,0,1,-34,0
362,Chiapas,CHP,ER1139,CHPER1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,61,4,6,3,4,0,0,0,0,-1,0
363,Chiapas,CHP,ER114,CHPER114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,7.692307692,13.73626374,1,1,0.073,1,0,0.023,3,30,56,5,2,1,20,0,-1,0.05,0,-10,0
364,Chiapas,CHP,ER1140,CHPER1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,13,36,2,2,9,8,0,-2,0,1,-5,0
365,Chiapas,CHP,ER1141,CHPER1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,5,65,3,3,5,11,0,0,0,1,6,0
366,Chiapas,CHP,ER1142,CHPER1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.5,9,54,3,2,4,5,0,0.5,0,1,-4,0
367,Chiapas,CHP,ER1144,CHPER1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.5,50,66,2,2.5,2,20,0,1,0,1,-30,0
