Num,Clave_Nal,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Edad18,Sup18,Esc18,CRend,Crad,CCli,CPrec,CAuto,Cint
6098,MEXER1809,26.66666667,21.42857143,5.238095238,1,49,2.35,9,0,0.027,0,0,0,0
6099,MEXER1811,13.33333333,21.42857143,-8.095238095,0,80,2.5,0,0,0.03,0,500,0,0
6100,MEXER1812,6.666666667,21.42857143,-14.76190476,0,46,1.4,9,0.5,0.022,0,600,0,0
6101,MEXER1813,6.666666667,21.42857143,-14.76190476,0,82,0.45,0,0.5,0.007,0,-300,0,0
6102,MEXER1814,6.666666667,21.42857143,-14.76190476,0,49,2.19,9,0,0.022,0,1000,0,0
6103,MEXER1815,6.666666667,14.28571429,-7.619047619,0,81,0.6,0,-0.5,0.033,0,800,0,0
6104,MEXER1817,6.666666667,21.42857143,-14.76190476,0,58,2.33,9,2,0.007,0,1000,0,0
6105,MEXER1818,6.666666667,21.42857143,-14.76190476,0,80,1.65,0,0,0.007,0,0,0,0
6106,MEXER1819,20,21.42857143,-1.428571429,0,74,4,0,1,0.072,0,0,-15,0
6107,MEXER1820,6.666666667,21.42857143,-14.76190476,0,72,3,6,0.5,0.007,0,500,0,0
6108,MEXER1821,6.666666667,21.42857143,-14.76190476,0,45,1.73,9,0,0.007,0,-500,0,0
6109,MEXER1822,13.33333333,21.42857143,-8.095238095,0,68,1,6,0.5,0.022,0,200,0,0
6110,MEXER1823,13.33333333,21.42857143,-8.095238095,0,57,5,6,0,0.03,0,500,0,0
6111,MEXER1824,6.666666667,21.42857143,-14.76190476,0,68,0.5,0,0.2,0.007,0,-500,0,0
6112,MEXER1825,20,7.142857143,12.85714286,1,45,1,16,0.5,0.045,0,-100,0,0
6113,MEXER1827,33.33333333,21.42857143,11.9047619,1,70,3,6,2.25,0.045,1,2200,-60,0
6114,MEXER1828,20,28.57142857,-8.571428571,0,63,1,6,0.9,0.045,0,2000,0,0
6115,MEXER1829,60,21.42857143,38.57142857,1,76,4.48,0,0,0.074,0,0,0,0
6116,MEXER1830,6.666666667,7.142857143,-0.476190476,0,51,0.33,2,1,0.033,0,-220,0,0
